year,spendInAus,spendOutAus
1996,89000000,0
1997,116000000,15000000
1998,146000000,19000000
1999,112000000,5000000
2000,129000000,12000000
2001,102000000,61000000
2002,156000000,14000000
2003,63000000,8000000
2004,201000000,24000000
2005,93000000,19000000
2006,114000000,10000000
2007,234000000,39000000
2008,173000000,79000000
2009,368000000,40000000
2010,273000000,28000000
2011,93000000,32000000
2012,364000000,53000000
2013,325000000,165000000
2014,313000000,68000000
2015,125000000,9000000
2016,197000000,13000000
2017,290000000,60000000
2018,263000000,18000000
2019,322000000,29000000
2020,217000000,54000000
2021,498000000,24000000
2022,794000000,2000000
2023,363000000,27000000